Workload,hi_len_hi_size,hi_len_lo_size,lo_len_hi_size,lo_len_lo_size,mi_len_hi_size,mi_len_lo_size,vanilla
510.parest_r,99.797,99.707,99.686,99.589,99.803,99.718,99.972
557.xz_r,93.661,93.282,92.477,91.334,93.637,93.374,95.981
503.bwaves_r,99.974,99.974,99.948,99.948,99.974,99.974,100.0
520.omnetpp_r,95.587,89.904,93.199,85.821,95.774,90.661,97.501
554.roms_r,99.534,99.524,99.532,99.525,99.536,99.525,99.996
505.mcf_r,84.695,83.558,80.998,78.67,84.842,83.803,88.636
544.nab_r,99.979,99.979,99.969,99.968,99.979,99.979,99.983
523.xalancbmk_r,98.049,97.988,98.809,98.684,97.928,97.789,99.689
502.gcc_r,99.897,99.866,99.868,99.84,99.897,99.867,99.978
549.fotonik3d_r,98.384,98.384,98.384,98.384,98.384,98.384,100.0
526.blender_r,93.028,91.308,91.476,88.581,93.298,91.438,98.863
508.namd_r,93.262,92.592,89.498,88.236,93.447,92.768,95.292
511.povray_r,93.196,85.367,87.857,79.748,93.183,84.898,99.511
519.lbm_r,99.645,99.645,99.613,99.613,99.642,99.642,99.955
531.deepsjeng_r,86.754,78.449,80.362,72.86,87.09,78.689,95.186
507.cactuBSSN_r,100.0,100.0,100.0,100.0,100.0,100.0,100.0
525.x264_r,94.598,93.049,92.959,91.598,94.611,93.185,97.687
538.imagick_r,99.469,99.467,99.468,99.459,99.469,99.468,99.998
541.leela_r,80.24,76.028,76.543,70.002,80.528,76.282,89.069
548.exchange2_r,94.331,85.001,85.985,74.031,94.826,85.664,99.576
521.wrf_r,97.935,96.886,96.96,95.392,97.976,97.101,98.953
527.cam4_r,98.123,97.604,97.296,96.87,98.127,97.671,99.763
500.perlbench_r,99.932,99.258,99.888,98.355,99.927,99.285,99.967
